model_id	results_id
r10427_kd	p_r_10427_kd_reaction_10427
r10428_k0	p_r_10428_k0_reaction_10428
r10428_kd	p_r_10428_kd_reaction_10428
r10429_k0	p_r_10429_k0_reaction_10429
r10429_kd	p_r_10429_kd_reaction_10429
r10430_k0	p_r_10430_k0_reaction_10430
r10431_k0	p_r_10431_k0_reaction_10431
r10432_k0	p_r_10432_k0_reaction_10432
r10433_k0	p_r_10433_k0_reaction_10433
r10434_k0	p_r_10434_k0_reaction_10434
r10435_k0	p_r_10435_k0_reaction_10435
r10436_k0	p_r_10436_k0_reaction_10436
r10437_k0	p_r_10437_k0_reaction_10437
r10438_k0	p_r_10438_k0_reaction_10438
r10439_k0	p_r_10439_k0_reaction_10439
r10442_k0	p_r_10442_k0_reaction_10442
r10443_k0	p_r_10443_k0_reaction_10443
r10444_k0	p_r_10444_k0_reaction_10444
r10445_k0	p_r_10445_k0_reaction_10445
r10446_k0	p_r_10446_k0_reaction_10446
r10447_k0	p_r_10447_k0_reaction_10447
r10448_k0	p_r_10448_k0_reaction_10448
r10449_k0	p_r_10449_k0_reaction_10449
r10451_kE3	p_r_10451_kE3_reaction_10451
r10451_kE2	p_r_10451_kE2_reaction_10451
r10451_kE1	p_r_10451_kE1_reaction_10451
r10456_k0	p_r_10456_k0_reaction_10456
r10457_k0	p_r_10457_k0_reaction_10457
r10458_k0	p_r_10458_k0_reaction_10458
r10459_k0	p_r_10459_k0_reaction_10459
r10459_kd	p_r_10459_kd_reaction_10459
r10460_k0	p_r_10460_k0_reaction_10460
r10460_kd	p_r_10460_kd_reaction_10460
r10461_k0	p_r_10461_k0_reaction_10461
r10461_kd	p_r_10461_kd_reaction_10461
r10462_k0	p_r_10462_k0_reaction_10462
r10462_kd	p_r_10462_kd_reaction_10462
r10463_k0	p_r_10463_k0_reaction_10463
r10463_kd	p_r_10463_kd_reaction_10463
r10464_k0	p_r_10464_k0_reaction_10464
r10464_kd	p_r_10464_kd_reaction_10464
r10465_k0	p_r_10465_k0_reaction_10465
r10465_kd	p_r_10465_kd_reaction_10465
r10466_k0	p_r_10466_k0_reaction_10466
r10466_kd	p_r_10466_kd_reaction_10466
r10467_k0	p_r_10467_k0_reaction_10467
r10467_kd	p_r_10467_kd_reaction_10467
r10468_k0	p_r_10468_k0_reaction_10468
r10468_kd	p_r_10468_kd_reaction_10468
r10469_k0	p_r_10469_k0_reaction_10469
r10469_kd	p_r_10469_kd_reaction_10469
r10470_k0	p_r_10470_k0_reaction_10470
r10471_k0	p_r_10471_k0_reaction_10471
r10472_k0	p_r_10472_k0_reaction_10472
r10473_k0	p_r_10473_k0_reaction_10473
r10474_k0	p_r_10474_k0_reaction_10474
r10475_k0	p_r_10475_k0_reaction_10475
r10476_k0	p_r_10476_k0_reaction_10476
r10477_k0	p_r_10477_k0_reaction_10477
r10478_k0	p_r_10478_k0_reaction_10478
r10479_k0	p_r_10479_k0_reaction_10479
r10482_k0	p_r_10482_k0_reaction_10482
r10483_k0	p_r_10483_k0_reaction_10483
r10484_k0	p_r_10484_k0_reaction_10484
r10485_k0	p_r_10485_k0_reaction_10485
r10486_k0	p_r_10486_k0_reaction_10486
r10487_k0	p_r_10487_k0_reaction_10487
r10488_k0	p_r_10488_k0_reaction_10488
r10489_k0	p_r_10489_k0_reaction_10489
r10491_kE3	p_r_10491_kE3_reaction_10491
r10491_kE2	p_r_10491_kE2_reaction_10491
r10491_kE1	p_r_10491_kE1_reaction_10491
r10496_k0	p_r_10496_k0_reaction_10496
r10497_k0	p_r_10497_k0_reaction_10497
r10498_k0	p_r_10498_k0_reaction_10498
r10499_k0	p_r_10499_k0_reaction_10499
r10499_kd	p_r_10499_kd_reaction_10499
r10500_k0	p_r_10500_k0_reaction_10500
r10500_kd	p_r_10500_kd_reaction_10500
